법령명,민법_유사도_SBERT,형법_유사도_SBERT,행정기본법_유사도_SBERT
공증 서류의 보존에 관한 규칙,0.6278894,0.6144096,0.7914499
국민 안전교육 진흥 기본법 시행규칙,0.5243569,0.5905559,0.7406056
군위군의 대구광역시 편입에 따른 법원 관할구역 변경에 관한 규칙,0.66084063,0.6509931,0.79679227
농어촌주민의 보건복지 증진을 위한 특별법 시행령,0.5291665,0.5195327,0.7526014
도청이전을 위한 도시건설 및 지원에 관한 특별법 시행령,0.57554203,0.6302953,0.789124
마약류 불법거래 방지에 관한 특례법 시행령,0.5297452,0.68085724,0.7511257
명예영사의 임명 및 직무범위 등에 관한 규정,0.5660961,0.45665687,0.73197204
보호시설에 있는 미성년자의 후견 직무에 관한 법률 시행령,0.6445502,0.6510086,0.8183489
부동산투자회사법 시행규칙,0.5481023,0.5609015,0.7207225
사회복지공동모금회법 시행규칙,0.6197984,0.61892366,0.8078824
삼차원프린팅산업 진흥법 시행규칙,0.53158736,0.6001928,0.7312754
양자과학기술 및 양자산업 육성에 관한 법률 시행규칙,0.49705166,0.5852444,0.71191216
임기제부사관제 운영규정,0.6468576,0.62324965,0.82434165
자치경찰사무와 시ㆍ도자치경찰위원회의 조직 및 운영 등에 관한 규정,0.6300019,0.7119597,0.86033916
전통문화산업 진흥법 시행규칙,0.54566926,0.5816103,0.7442477
주한미군 소속 한국인 근로자의 지원을 위한 특별법 시행규칙,0.50398064,0.49129298,0.68326545
지역특화작목 연구개발 및 육성에 관한 법률 시행규칙,0.4911464,0.53701425,0.7350763
통상조약의 체결절차 및 이행에 관한 법률 시행령,0.5955005,0.662452,0.77367944
10ㆍ27법난 피해자의 명예회복 등에 관한 법률,0.67542636,0.63378406,0.76850885
10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,0.66506875,0.6950007,0.7627986
10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,0.5873896,0.6572617,0.7481351
10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법 시행령,0.64686084,0.69135386,0.767202
112신고의 운영 및 처리에 관한 법률,0.54572475,0.56389964,0.67434543
112신고의 운영 및 처리에 관한 법률 시행령,0.57449144,0.6408194,0.7328541
119구조ㆍ구급에 관한 법률,0.55703187,0.5863622,0.7615781
119구조ㆍ구급에 관한 법률 시행령,0.6066562,0.6367707,0.81965256
119구조ㆍ구급에 관한 법률 시행규칙,0.5306219,0.52835345,0.6984875
119긴급신고의 관리 및 운영에 관한 법률,0.555768,0.5642228,0.733812
119긴급신고의 관리 및 운영에 관한 법률 시행령,0.51361024,0.5486584,0.6869689
119긴급신고의 관리 및 운영에 관한 법률 시행규칙,0.6052475,0.62980247,0.7669892
12ㆍ29여객기참사 피해구제 및 지원 등을 위한 특별법,0.50575864,0.56307006,0.6649548
12ㆍ29여객기참사 피해구제 및 지원 등을 위한 특별법 시행령,0.6106007,0.58150774,0.7194919
1945년이후종전의규정에의한학교졸업자자격인정령,0.45998412,0.37887836,0.47929955
1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,0.57276124,0.5245036,0.68337286
1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법 시행령,0.55733156,0.5367265,0.7035614
1980년해직공무원의보상등에관한특별조치법,0.5255953,0.58513397,0.73693836
1980년해직공무원의보상등에관한특별조치법시행령,0.5578136,0.60230744,0.7883866
1인 창조기업 육성에 관한 법률,0.44097733,0.48367608,0.68740714
1인 창조기업 육성에 관한 법률 시행령,0.5031847,0.5821244,0.7308811
2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,0.44791216,0.5134536,0.6945486
2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,0.50765693,0.54749954,0.71120095
2025 경주 아시아태평양경제협력체 정상회의 지원 특별법,0.41746998,0.48468578,0.68704194
2025 경주 아시아태평양경제협력체 정상회의 지원 특별법 시행령,0.46987906,0.5337358,0.7335663
30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법,0.5862012,0.5794058,0.65349483
30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법 시행령,0.67611986,0.60179865,0.67338014
3ㆍ15의거 참여자의 명예회복 등에 관한 법률,0.6250557,0.5844624,0.82747686
3ㆍ15의거 참여자의 명예회복 등에 관한 법률 시행령,0.6668428,0.6411198,0.7735437
4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,0.5612146,0.6164586,0.75661147
4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,0.6489217,0.6646622,0.81887627
4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법,0.52406615,0.5526581,0.7058277
4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령,0.6120267,0.66284275,0.7224449
4차산업혁명위원회의 설치 및 운영에 관한 규정,0.35191423,0.41694847,0.6091492
5ㆍ18민주유공자예우 및 단체설립에 관한 법률,0.5966282,0.49854845,0.76224613
5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행령,0.6985595,0.66903883,0.91733146
5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행규칙,0.66359466,0.64266634,0.8729203
5ㆍ18민주화운동 관련자 보상 등에 관한 법률,0.61197484,0.636938,0.8122078
5ㆍ18민주화운동 관련자 보상 등에 관한 법률 시행령,0.5994005,0.6553371,0.8060638
5ㆍ18민주화운동 등에 관한 특별법,0.6002196,0.679374,0.8118559
5ㆍ18민주화운동 진상규명을 위한 특별법,0.5563649,0.59664977,0.78157425
5ㆍ18민주화운동 진상규명을 위한 특별법 시행령,0.6295436,0.6138607,0.85589796
6ㆍ25 전사자유해의 발굴 등에 관한 법률,0.57042694,0.55303997,0.7346331
6ㆍ25 전사자유해의 발굴 등에 관한 법률 시행령,0.59174234,0.5588166,0.7425936
6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률,0.5538389,0.57929456,0.72477543
6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률 시행령,0.6335064,0.66513854,0.79619205
6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률에 의한 가족관계등록사무처리규칙,0.6537597,0.63771886,0.7962407
6ㆍ25전쟁 무공훈장 수여 등에 관한 법률,0.5312579,0.5055375,0.6848265
6ㆍ25전쟁 무공훈장 수여 등에 관한 법률 시행령,0.6343273,0.5869029,0.7546646
6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률,0.5672171,0.5668259,0.73287493
6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률 시행령,0.5779432,0.59919226,0.77582437
6ㆍ25전쟁 정전60주년 기념 호국영웅기장 수여규칙,0.59288204,0.546633,0.7257694
가덕도신공항건설공단법,0.4462636,0.47142115,0.6730794
가덕도신공항건설공단법 시행령,0.54540277,0.5825499,0.7713515
가덕도신공항건설공단법 시행규칙,0.533176,0.57496566,0.7328013
가덕도신공항 건설을 위한 특별법,0.47264096,0.5200025,0.70458186
가덕도신공항 건설을 위한 특별법 시행령,0.5112549,0.5601609,0.71200496
가덕도신공항 건설을 위한 특별법 시행규칙,0.5490086,0.5773242,0.7359601
가등기담보 등에 관한 법률,0.52344215,0.53208566,0.6533574
가맹사업거래의 공정화에 관한 법률,0.5357338,0.5542425,0.8028172
가맹사업거래의 공정화에 관한 법률 시행령,0.5602368,0.6446738,0.793372
가맹사업 진흥에 관한 법률,0.47427362,0.5271637,0.7618867
가맹사업 진흥에 관한 법률 시행령,0.53013843,0.58123326,0.80667996
