순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
1,253527,1371000,문화체육관광부,010719,10ㆍ27법난 피해자의 명예회복 등에 관한 법률,20230808,제19592호,20230808,A0002,법률,13030000,第3章 賞勳·禮式·補償
2,266351,1371000,문화체육관광부,010831,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,20241112,제34989호,20241112,A0007,대통령령,13030000,第3章 賞勳·禮式·補償
3,262693,1741000 1834600,"10·29이태원참사진상규명과재발방지를위한특별조사위원회,행정안전부",014656,10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,20240521,제20427호,20240521,A0002,법률,04020000,第2章 行政作用一般
4,268201,1741000 1834600,"10·29이태원참사진상규명과재발방지를위한특별조사위원회,행정안전부",014808,10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법 시행령,20250114,제35200호,20250114,A0007,대통령령,04020000,第2章 行政作用一般
5,257787,1320000,경찰청,014565,112신고의 운영 및 처리에 관한 법률,20240102,제19870호,20240703,A0002,법률,11010000,第1章 行政組織·通則
6,263521,1320000,경찰청,014679,112신고의 운영 및 처리에 관한 법률 시행령,20240702,제34629호,20240703,A0007,대통령령,11010000,第1章 行政組織·通則
7,266637,1661000,소방청,011349,119구조ㆍ구급에 관한 법률,20241203,제20543호,20250604,A0002,법률,12020300,第3節 消 防
8,263525,1661000,소방청,011452,119구조ㆍ구급에 관한 법률 시행령,20240702,제34631호,20240703,A0007,대통령령,12020300,第3節 消 防
9,271545,1661000,소방청,011457,119구조ㆍ구급에 관한 법률 시행규칙,20250604,제565호,20250604,A0107,행정안전부령,12020300,第3節 消 防
10,257743,1661000,소방청,014566,119긴급신고의 관리 및 운영에 관한 법률,20240102,제19872호,20240703,A0002,법률,12020100,第1節 行政組織·通則
11,263523,1661000,소방청,014680,119긴급신고의 관리 및 운영에 관한 법률 시행령,20240702,제34630호,20240703,A0007,대통령령,12020100,第1節 行政組織·通則
12,263571,1661000,소방청,014688,119긴급신고의 관리 및 운영에 관한 법률 시행규칙,20240702,제492호,20240703,A0107,행정안전부령,12020100,第1節 行政組織·通則
13,270935,1613000,국토교통부,014877,12ㆍ29여객기참사 피해구제 및 지원 등을 위한 특별법,20250429,제20954호,20250630,A0002,법률,41080000,第8章 航 空
14,272537,1613000,국토교통부,014899,12ㆍ29여객기참사 피해구제 및 지원 등을 위한 특별법 시행령,20250625,제35606호,20250630,A0007,대통령령,41080000,第8章 航 空
