법령명,커뮤니티ID,과목
4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,0,기타
4차산업혁명위원회의 설치 및 운영에 관한 규정,1,기타
각병과사병의군사경찰직무보조에관한규정,2,기타
감사원규칙의 공포에 관한 규칙,3,기타
감사원 정책자문위원회 규칙,4,기타
거창사건등 관련자의 명예회복에 관한 특별조치법,5,기타
검사 선서에 관한 규정,6,기타
검사의 법복에 관한 규칙,7,기타
경기도 수원시와 용인시의 관할구역 변경에 관한 규정,8,기타
경기도 수원시와 화성시의 관할구역 변경에 관한 규정,9,기타
경기도 안양시와 광명시의 관할구역 변경에 관한 규정,10,기타
경상북도와 대구광역시 간 관할구역 변경에 관한 법률,11,기타
우주항공청의 설치 및 운영에 관한 특별법 시행령,12,기타
군인연금법 시행규칙,12,기타
서울특별시 행정특례에 관한 법률,12,기타
지방자치단체 회계기준에 관한 규칙,12,기타
국민연금과 직역연금의 연계에 관한 법률 시행령,12,기타
공무원 특수지근무수당 지급대상 지역 및 기관과 그 등급별 구분에 관한 규칙,12,기타
경제총조사 규칙,12,기타
지방교육행정기관 예산성과금 운영규칙,12,기타
동북아역사재단 설립ㆍ운영에 관한 법률,12,기타
판사가 아닌 재판연구관에 관한 규칙,12,기타
국회예산정책처법,12,기타
선거관리위원회 공무원 인사기록 및 인사사무 처리 규칙,12,기타
이자제한법 제2조제1항의 최고이자율에 관한 규정,12,기타
보건복지부장관의 소속 청장 지휘에 관한 규칙,12,기타
시ㆍ도자치경찰위원회에 두는 경찰공무원의 정원에 관한 규정 시행규칙,12,기타
공직자윤리법 시행령,12,기타
순직 소방공무원 등 지원사업 운영규칙,12,기타
소방공무원 임용령 시행규칙,12,기타
산림청과 그 소속기관 직제,12,기타
공무원연금법 시행령,12,기타
범죄피해자 보호법 시행령,12,기타
청원산림보호직원 배치에 관한 법률 시행령,12,기타
기상청과 그 소속기관 직제,12,기타
해외이주법 시행령,12,기타
천문법 시행령,12,기타
노후준비 지원법 시행규칙,12,기타
지방공무원 수당 등에 관한 규정,12,기타
군인사법 시행령,12,기타
지방자치단체 업무추진비 집행에 관한 규칙,12,기타
한국임업전문학교 및 한국수산전문학교 설치령,12,기타
공무원 행동강령,12,기타
지방공무원 교육훈련법,12,기타
국립의 각급 학교에 두는 공무원의 정원에 관한 규정 시행규칙,12,기타
천문법,12,기타
인사혁신처와 그 소속기관 직제,12,기타
지방교육행정기관의 행정기구와 정원기준 등에 관한 규정 시행규칙,12,기타
행정협의회의 구성 및 운영에 관한 규칙,12,기타
통계법 시행규칙,12,기타
국립묘지의 설치 및 운영에 관한 법률 시행규칙,12,기타
사립학교 교원 징계규칙,12,기타
경찰공무원법,12,기타
공직후보자 등에 관한 정보의 수집 및 관리에 관한 규정,12,기타
물가안정에 관한 법률 시행령,12,기타
고위공무원단 인사규정,12,기타
법제처 직제 시행규칙,12,기타
지방자치단체 예산성과금 운영규칙,12,기타
경찰공무원 복무규정,12,기타
소방공무원 징계령,12,기타
별정우체국법,12,기타
지방행정제재ㆍ부과금의 징수 등에 관한 법률 시행규칙,12,기타
수도방위사령부령,12,기타
의무경찰대 설치 및 운영에 관한 법률 시행령,12,기타
감사원심사규칙,12,기타
국가보훈부와 그 소속기관 직제 시행규칙,12,기타
대도시권광역교통위원회 직제 시행규칙,12,기타
헌법재판소 표창 등에 관한 규칙,12,기타
참전유공자 예우 및 단체설립에 관한 법률 시행규칙,12,기타
공무원 재해보상법 시행규칙,12,기타
의용소방대 설치 및 운영에 관한 법률,12,기타
세종특별자치시 설치 등에 관한 특별법,12,기타
공무원 성과평가 등에 관한 규정,12,기타
헌법재판소 당직 및 비상근무 규칙,12,기타
지방교육행정기관 재정투자사업 심사규칙,12,기타
법관의 보수에 관한 법률,12,기타
새만금개발청 직제 시행규칙,12,기타
국군복지단령,12,기타
지방자치단체 기금관리기본법 시행령,12,기타
국립외교원법,12,기타
공무원임용시험령,12,기타
공무원직장협의회의 설립ㆍ운영에 관한 법률,12,기타
국가정보원직원법 시행령,12,기타
지방공무원인사교류규칙,12,기타
공직자 등의 병역사항 신고 및 공개에 관한 법률,12,기타
1980년해직공무원의보상등에관한특별조치법,12,기타
군인 재해보상법 시행령,12,기타
지뢰의 제거 등 지뢰대응활동에 관한 법률 시행령,12,기타
예비군법 시행규칙,12,기타
헌법재판소 사무기구에 관한 규칙,12,기타
행정기관 소속 위원회의 설치ㆍ운영에 관한 법률,12,기타
감사위원회의 운영 등에 관한 규칙,12,기타
국회의원수당 등에 관한 규칙,12,기타
문화체육관광부와 그 소속기관 직제,12,기타
독서문화진흥법 시행령,12,기타
국립소방병원의 설립 및 운영에 관한 법률 시행령,12,기타
원자력안전위원회와 그 소속기관 직제 시행규칙,12,기타
임용결격공무원 등에 대한 퇴직보상금지급 등에 관한 특례법,12,기타
대법원 공직자윤리위원회의 권한에 관한 규칙,12,기타
고향사랑 기부금에 관한 법률,12,기타
해양경찰청 소속 경찰공무원 교육훈련규정,12,기타
의무소방대설치법 시행령,12,기타
지방공무원 평정규칙,12,기타
민주화운동관련자 명예회복 및 보상 등에 관한 법률 시행령,12,기타
국가정보원직원법,12,기타
해양수산부와 그 소속기관 직제,12,기타
예비군법,12,기타
국회도서관 직제,12,기타
승강기산업 진흥법 시행규칙,12,기타
인사혁신처와 그 소속기관 직제 시행규칙,12,기타
국제연합 평화유지활동 참여에 관한 법률,12,기타
보훈보상대상자 지원에 관한 법률 시행규칙,12,기타
제2연평해전 전사자 보상에 관한 특별법,12,기타
보훈기금법 시행규칙,12,기타
해양경찰청 소속 경찰공무원 복제에 관한 규칙,12,기타
한국방송통신대학교 설립 및 운영에 관한 법률,12,기타
행정심판법,12,기타
한국장학재단 설립 등에 관한 법률 시행령,12,기타
재외동포청 직제 시행규칙,12,기타
국가유공자 등의 명패 관리에 관한 규칙,12,기타
시국사건관련 임용제외 교원의 피해회복을 위한 조치에 관한 특별법,12,기타
국방개혁에 관한 법률 시행령,12,기타
국민 제안 규정 시행규칙,12,기타
군표창규칙,12,기타
법관 및 법원공무원 행동강령,12,기타
외무공무원임용령,12,기타
